seed,present_match_max_abs,memory_a_rms,memory_b_rms,memory_difference_rms,stationary_baseline_memory_rms,history_delta_a_rms,history_delta_b_rms,history_delta_pair_mismatch_rms,future_separation_relative,reset_memory_separation_relative,feedback_off_separation_relative,rotated_memory_separation_relative,shuffled_memory_separation_relative
20260924,0.0,0.001596298614903952,0.0016256075933881234,0.0010161458162751315,0.001528805604983622,0.0005080729081375655,0.0005080729081375659,3.500393554202555e-18,2.0464869646100543e-05,0.0,0.0,4.265542310751517e-05,7.318771375877407e-06
20260925,0.0,0.0015962986149039519,0.0016256075933881234,0.001016145816275131,0.0015288056049836218,0.0005080729081375657,0.0005080729081375653,3.700644972721796e-18,2.046486964609556e-05,0.0,0.0,4.265542310754149e-05,6.651110563472538e-06
20260926,0.0,0.001596298614903952,0.001625607593388123,0.0010161458162751312,0.0015288056049836218,0.000508072908137566,0.0005080729081375653,3.5685259820163306e-18,2.0464869646117836e-05,0.0,0.0,4.2655423107531945e-05,6.691608344455514e-06
20260927,0.0,0.0015962986149039523,0.0016256075933881234,0.0010161458162751317,0.001528805604983622,0.0005080729081375656,0.000508072908137566,3.828076169965354e-18,2.046486964611862e-05,0.0,0.0,4.265542310751732e-05,6.992256160870436e-06
20260928,0.0,0.0015962986149039523,0.0016256075933881232,0.001016145816275131,0.001528805604983622,0.0005080729081375654,0.0005080729081375654,3.603268201882635e-18,2.04648696461102e-05,0.0,0.0,4.265542310751579e-05,7.187221007445921e-06
20260929,0.0,0.0015962986149039523,0.0016256075933881234,0.001016145816275131,0.0015288056049836223,0.0005080729081375656,0.0005080729081375654,3.5235560667406996e-18,2.0464869646107814e-05,0.0,0.0,4.265542310752206e-05,7.548524006425971e-06
20260930,0.0,0.001596298614903952,0.0016256075933881234,0.001016145816275131,0.0015288056049836225,0.0005080729081375655,0.0005080729081375655,3.6594630971034064e-18,2.0464869646101055e-05,0.0,0.0,4.265542310752728e-05,6.892012536833439e-06
20260931,0.0,0.001596298614903952,0.0016256075933881232,0.0010161458162751312,0.0015288056049836218,0.0005080729081375659,0.0005080729081375653,3.7486405562323115e-18,2.0464869646109678e-05,0.0,0.0,4.265542310752151e-05,6.826708854762026e-06
20260932,0.0,0.001596298614903952,0.0016256075933881234,0.001016145816275131,0.0015288056049836216,0.0005080729081375656,0.0005080729081375654,3.3342995527426488e-18,2.0464869646112307e-05,0.0,0.0,4.265542310754271e-05,6.770566856876064e-06
20260933,0.0,0.001596298614903952,0.0016256075933881234,0.001016145816275131,0.0015288056049836223,0.0005080729081375658,0.0005080729081375652,3.607996868397433e-18,2.046486964611776e-05,0.0,0.0,4.265542310750047e-05,6.739395652120433e-06
