model,seed,family,direction,normalized_trajectory_l2_error,memory_rms
adr,26090424,heldout_harmonic_mode,plus,2.6197091035125452e-05,0.001919746113961775
adr,26090424,heldout_harmonic_mode,minus,2.622438964744764e-05,0.0019197461139617755
adr,26090424,heldout_two_lobe_mode,plus,1.8952898762245306e-05,0.0015132658141173653
adr,26090424,heldout_two_lobe_mode,minus,1.923104777923642e-05,0.0015475966141568723
adr,26090425,heldout_harmonic_mode,plus,2.6197091035125185e-05,0.0019197461139617757
adr,26090425,heldout_harmonic_mode,minus,2.6224389647443483e-05,0.001919746113961775
adr,26090425,heldout_two_lobe_mode,plus,1.8952898762239434e-05,0.001513265814117365
adr,26090425,heldout_two_lobe_mode,minus,1.9231047779228063e-05,0.0015475966141568723
adr,26090426,heldout_harmonic_mode,plus,2.619709103511747e-05,0.0019197461139617755
adr,26090426,heldout_harmonic_mode,minus,2.6224389647461193e-05,0.0019197461139617753
adr,26090426,heldout_two_lobe_mode,plus,1.895289876224145e-05,0.001513265814117365
adr,26090426,heldout_two_lobe_mode,minus,1.9231047779236536e-05,0.0015475966141568723
adr,26090427,heldout_harmonic_mode,plus,2.619709103511795e-05,0.0019197461139617755
adr,26090427,heldout_harmonic_mode,minus,2.6224389647455226e-05,0.0019197461139617755
adr,26090427,heldout_two_lobe_mode,plus,1.8952898762233346e-05,0.0015132658141173655
adr,26090427,heldout_two_lobe_mode,minus,1.9231047779239e-05,0.0015475966141568725
adr,26090428,heldout_harmonic_mode,plus,2.6197091035128017e-05,0.0019197461139617755
adr,26090428,heldout_harmonic_mode,minus,2.6224389647468745e-05,0.0019197461139617753
adr,26090428,heldout_two_lobe_mode,plus,1.8952898762242243e-05,0.0015132658141173653
adr,26090428,heldout_two_lobe_mode,minus,1.923104777923466e-05,0.0015475966141568723
adr,26090429,heldout_harmonic_mode,plus,2.619709103511304e-05,0.0019197461139617755
adr,26090429,heldout_harmonic_mode,minus,2.6224389647478184e-05,0.0019197461139617757
adr,26090429,heldout_two_lobe_mode,plus,1.895289876224948e-05,0.0015132658141173653
adr,26090429,heldout_two_lobe_mode,minus,1.923104777924558e-05,0.0015475966141568723
adr,26090430,heldout_harmonic_mode,plus,2.6197091035136352e-05,0.0019197461139617755
adr,26090430,heldout_harmonic_mode,minus,2.622438964747725e-05,0.0019197461139617757
adr,26090430,heldout_two_lobe_mode,plus,1.895289876224089e-05,0.0015132658141173653
adr,26090430,heldout_two_lobe_mode,minus,1.923104777923849e-05,0.0015475966141568723
adr,26090431,heldout_harmonic_mode,plus,2.6197091035126994e-05,0.0019197461139617755
adr,26090431,heldout_harmonic_mode,minus,2.6224389647465726e-05,0.0019197461139617755
adr,26090431,heldout_two_lobe_mode,plus,1.8952898762230953e-05,0.001513265814117365
adr,26090431,heldout_two_lobe_mode,minus,1.923104777924432e-05,0.0015475966141568723
adr,26090432,heldout_harmonic_mode,plus,2.619709103512014e-05,0.0019197461139617753
adr,26090432,heldout_harmonic_mode,minus,2.6224389647442992e-05,0.0019197461139617753
adr,26090432,heldout_two_lobe_mode,plus,1.895289876224246e-05,0.0015132658141173655
adr,26090432,heldout_two_lobe_mode,minus,1.9231047779221622e-05,0.0015475966141568725
adr,26090433,heldout_harmonic_mode,plus,2.619709103511835e-05,0.0019197461139617755
adr,26090433,heldout_harmonic_mode,minus,2.6224389647457456e-05,0.0019197461139617757
adr,26090433,heldout_two_lobe_mode,plus,1.895289876223575e-05,0.0015132658141173655
adr,26090433,heldout_two_lobe_mode,minus,1.923104777922611e-05,0.0015475966141568725
adr,26090434,heldout_harmonic_mode,plus,2.6197091035129017e-05,0.0019197461139617755
adr,26090434,heldout_harmonic_mode,minus,2.6224389647463924e-05,0.0019197461139617753
adr,26090434,heldout_two_lobe_mode,plus,1.8952898762247793e-05,0.0015132658141173655
adr,26090434,heldout_two_lobe_mode,minus,1.9231047779230797e-05,0.0015475966141568728
adr,26090435,heldout_harmonic_mode,plus,2.619709103512341e-05,0.0019197461139617753
adr,26090435,heldout_harmonic_mode,minus,2.6224389647454887e-05,0.0019197461139617753
adr,26090435,heldout_two_lobe_mode,plus,1.8952898762237015e-05,0.0015132658141173653
adr,26090435,heldout_two_lobe_mode,minus,1.9231047779233413e-05,0.0015475966141568723
adr,26090436,heldout_harmonic_mode,plus,2.6197091035104233e-05,0.0019197461139617753
adr,26090436,heldout_harmonic_mode,minus,2.6224389647478194e-05,0.0019197461139617753
adr,26090436,heldout_two_lobe_mode,plus,1.895289876224959e-05,0.0015132658141173655
adr,26090436,heldout_two_lobe_mode,minus,1.9231047779226453e-05,0.0015475966141568725
adr,26090437,heldout_harmonic_mode,plus,2.6197091035135254e-05,0.001919746113961776
adr,26090437,heldout_harmonic_mode,minus,2.622438964744837e-05,0.0019197461139617753
adr,26090437,heldout_two_lobe_mode,plus,1.8952898762239624e-05,0.0015132658141173653
adr,26090437,heldout_two_lobe_mode,minus,1.923104777923226e-05,0.0015475966141568728
adr,26090438,heldout_harmonic_mode,plus,2.6197091035124832e-05,0.0019197461139617755
adr,26090438,heldout_harmonic_mode,minus,2.6224389647459245e-05,0.0019197461139617755
