seed,family,direction,kernel_error,f_only_error,maxwell_error,present_match_max_abs
26092424,calibration_mode_a,plus,0.0,2.215690097067957e-05,2.215690097067957e-05,0.0
26092424,calibration_mode_a,minus,0.0,2.25291785113518e-05,2.25291785113518e-05,0.0
26092424,calibration_mode_b,plus,0.0,2.8836447716824057e-05,2.8836447716824057e-05,0.0
26092424,calibration_mode_b,minus,0.0,1.5645190468712488e-05,1.5645190468712488e-05,0.0
26092424,heldout_harmonic_mode,plus,0.0,2.8152247477527746e-05,2.8152247477527746e-05,0.0
26092424,heldout_harmonic_mode,minus,0.0,2.817357102187629e-05,2.817357102187629e-05,0.0
26092424,heldout_two_lobe_mode,plus,0.0,2.129281068183324e-05,2.129281068183324e-05,0.0
26092424,heldout_two_lobe_mode,minus,0.0,2.191501334483787e-05,2.191501334483787e-05,0.0
26092424,heldout_diagonal_mode,plus,0.0,2.3266578578225396e-05,2.3266578578225396e-05,0.0
26092424,heldout_diagonal_mode,minus,0.0,2.328374679192218e-05,2.328374679192218e-05,0.0
26092425,calibration_mode_a,plus,0.0,2.215690097068778e-05,2.215690097068778e-05,0.0
26092425,calibration_mode_a,minus,0.0,2.2529178511370484e-05,2.2529178511370484e-05,0.0
26092425,calibration_mode_b,plus,0.0,2.8836447716823603e-05,2.8836447716823603e-05,0.0
26092425,calibration_mode_b,minus,0.0,1.5645190468726373e-05,1.5645190468726373e-05,0.0
26092425,heldout_harmonic_mode,plus,0.0,2.8152247477549322e-05,2.8152247477549322e-05,0.0
26092425,heldout_harmonic_mode,minus,0.0,2.8173571021871893e-05,2.8173571021871893e-05,0.0
26092425,heldout_two_lobe_mode,plus,0.0,2.129281068186029e-05,2.129281068186029e-05,0.0
26092425,heldout_two_lobe_mode,minus,0.0,2.1915013344840474e-05,2.1915013344840474e-05,0.0
26092425,heldout_diagonal_mode,plus,0.0,2.326657857821835e-05,2.326657857821835e-05,0.0
26092425,heldout_diagonal_mode,minus,0.0,2.3283746791941868e-05,2.3283746791941868e-05,0.0
26092426,calibration_mode_a,plus,0.0,2.2156900970691156e-05,2.2156900970691156e-05,0.0
26092426,calibration_mode_a,minus,0.0,2.252917851136596e-05,2.252917851136596e-05,0.0
26092426,calibration_mode_b,plus,0.0,2.883644771683367e-05,2.883644771683367e-05,0.0
26092426,calibration_mode_b,minus,0.0,1.56451904687202e-05,1.56451904687202e-05,0.0
26092426,heldout_harmonic_mode,plus,0.0,2.8152247477540733e-05,2.8152247477540733e-05,0.0
26092426,heldout_harmonic_mode,minus,0.0,2.817357102188489e-05,2.817357102188489e-05,0.0
26092426,heldout_two_lobe_mode,plus,0.0,2.1292810681852935e-05,2.1292810681852935e-05,0.0
26092426,heldout_two_lobe_mode,minus,0.0,2.1915013344845532e-05,2.1915013344845532e-05,0.0
26092426,heldout_diagonal_mode,plus,0.0,2.326657857823913e-05,2.326657857823913e-05,0.0
26092426,heldout_diagonal_mode,minus,0.0,2.328374679193224e-05,2.328374679193224e-05,0.0
26092427,calibration_mode_a,plus,0.0,2.2156900970678044e-05,2.2156900970678044e-05,0.0
26092427,calibration_mode_a,minus,0.0,2.252917851135386e-05,2.252917851135386e-05,0.0
26092427,calibration_mode_b,plus,0.0,2.8836447716836366e-05,2.8836447716836366e-05,0.0
26092427,calibration_mode_b,minus,0.0,1.56451904687272e-05,1.56451904687272e-05,0.0
26092427,heldout_harmonic_mode,plus,0.0,2.8152247477543203e-05,2.8152247477543203e-05,0.0
26092427,heldout_harmonic_mode,minus,0.0,2.8173571021881095e-05,2.8173571021881095e-05,0.0
26092427,heldout_two_lobe_mode,plus,0.0,2.129281068185166e-05,2.129281068185166e-05,0.0
26092427,heldout_two_lobe_mode,minus,0.0,2.1915013344841738e-05,2.1915013344841738e-05,0.0
26092427,heldout_diagonal_mode,plus,0.0,2.3266578578225573e-05,2.3266578578225573e-05,0.0
26092427,heldout_diagonal_mode,minus,0.0,2.3283746791923945e-05,2.3283746791923945e-05,0.0
26092428,calibration_mode_a,plus,0.0,2.2156900970694053e-05,2.2156900970694053e-05,0.0
26092428,calibration_mode_a,minus,0.0,2.2529178511345355e-05,2.2529178511345355e-05,0.0
26092428,calibration_mode_b,plus,0.0,2.883644771681479e-05,2.883644771681479e-05,0.0
26092428,calibration_mode_b,minus,0.0,1.5645190468719657e-05,1.5645190468719657e-05,0.0
26092428,heldout_harmonic_mode,plus,0.0,2.8152247477538886e-05,2.8152247477538886e-05,0.0
26092428,heldout_harmonic_mode,minus,0.0,2.817357102187481e-05,2.817357102187481e-05,0.0
26092428,heldout_two_lobe_mode,plus,0.0,2.1292810681847575e-05,2.1292810681847575e-05,0.0
26092428,heldout_two_lobe_mode,minus,0.0,2.1915013344844438e-05,2.1915013344844438e-05,0.0
26092428,heldout_diagonal_mode,plus,0.0,2.326657857822078e-05,2.326657857822078e-05,0.0
26092428,heldout_diagonal_mode,minus,0.0,2.328374679192868e-05,2.328374679192868e-05,0.0
26092429,calibration_mode_a,plus,0.0,2.215690097069531e-05,2.215690097069531e-05,0.0
