model,seed,family,direction,relaxation_rate,equilibrium_gain,normalized_trajectory_l2_error
maxwell,26092400,calibration_mode_a,plus,0.05,0.0,2.2156900970695693e-05
maxwell,26092400,calibration_mode_a,plus,0.05,0.01,2.2712853398228175e-05
maxwell,26092400,calibration_mode_a,plus,0.05,0.05,2.5161804399367254e-05
maxwell,26092400,calibration_mode_a,plus,0.1,0.0,2.2156900970695693e-05
maxwell,26092400,calibration_mode_a,plus,0.1,0.01,2.321514131092061e-05
maxwell,26092400,calibration_mode_a,plus,0.1,0.05,2.8155422208510514e-05
maxwell,26092400,calibration_mode_a,plus,0.2,0.0,2.2156900970695693e-05
maxwell,26092400,calibration_mode_a,plus,0.2,0.01,2.406778311309986e-05
maxwell,26092400,calibration_mode_a,plus,0.2,0.05,3.3561993094718994e-05
maxwell,26092400,calibration_mode_a,plus,0.4,0.0,2.2156900970695693e-05
maxwell,26092400,calibration_mode_a,plus,0.4,0.01,2.526805965747447e-05
maxwell,26092400,calibration_mode_a,plus,0.4,0.05,4.147056439318835e-05
maxwell,26092400,calibration_mode_a,minus,0.05,0.0,2.2529178511361262e-05
maxwell,26092400,calibration_mode_a,minus,0.05,0.01,2.3086992670972025e-05
maxwell,26092400,calibration_mode_a,minus,0.05,0.05,2.554052745434479e-05
maxwell,26092400,calibration_mode_a,minus,0.1,0.0,2.2529178511361262e-05
maxwell,26092400,calibration_mode_a,minus,0.1,0.01,2.359058407372285e-05
maxwell,26092400,calibration_mode_a,minus,0.1,0.05,2.853537957594166e-05
maxwell,26092400,calibration_mode_a,minus,0.2,0.0,2.2529178511361262e-05
maxwell,26092400,calibration_mode_a,minus,0.2,0.01,2.444469941251889e-05
maxwell,26092400,calibration_mode_a,minus,0.2,0.05,3.393964612019548e-05
maxwell,26092400,calibration_mode_a,minus,0.4,0.0,2.2529178511361262e-05
maxwell,26092400,calibration_mode_a,minus,0.4,0.01,2.564544217448151e-05
maxwell,26092400,calibration_mode_a,minus,0.4,0.05,4.1840832272719295e-05
maxwell,26092400,calibration_mode_b,plus,0.05,0.0,2.883644771683637e-05
maxwell,26092400,calibration_mode_b,plus,0.05,0.01,2.9556647995372776e-05
maxwell,26092400,calibration_mode_b,plus,0.05,0.05,3.259273878625894e-05
maxwell,26092400,calibration_mode_b,plus,0.1,0.0,2.883644771683637e-05
maxwell,26092400,calibration_mode_b,plus,0.1,0.01,3.0195070644559482e-05
maxwell,26092400,calibration_mode_b,plus,0.1,0.05,3.6117509080014126e-05
maxwell,26092400,calibration_mode_b,plus,0.2,0.0,2.883644771683637e-05
maxwell,26092400,calibration_mode_b,plus,0.2,0.01,3.125520904966911e-05
maxwell,26092400,calibration_mode_b,plus,0.2,0.05,4.2212388734610245e-05
maxwell,26092400,calibration_mode_b,plus,0.4,0.0,2.883644771683637e-05
maxwell,26092400,calibration_mode_b,plus,0.4,0.01,3.2699557210452935e-05
maxwell,26092400,calibration_mode_b,plus,0.4,0.05,5.078001764324506e-05
maxwell,26092400,calibration_mode_b,minus,0.05,0.0,1.5645190468711465e-05
maxwell,26092400,calibration_mode_b,minus,0.05,0.01,1.5967654438435062e-05
maxwell,26092400,calibration_mode_b,minus,0.05,0.05,1.760287497930343e-05
maxwell,26092400,calibration_mode_b,minus,0.1,0.0,1.5645190468711465e-05
maxwell,26092400,calibration_mode_b,minus,0.1,0.01,1.6277116141230148e-05
maxwell,26092400,calibration_mode_b,minus,0.1,0.05,1.990155461585185e-05
maxwell,26092400,calibration_mode_b,minus,0.2,0.0,1.5645190468711465e-05
maxwell,26092400,calibration_mode_b,minus,0.2,0.01,1.683700523132175e-05
maxwell,26092400,calibration_mode_b,minus,0.2,0.05,2.4496908257029435e-05
maxwell,26092400,calibration_mode_b,minus,0.4,0.0,1.5645190468711465e-05
maxwell,26092400,calibration_mode_b,minus,0.4,0.01,1.7693040114890537e-05
maxwell,26092400,calibration_mode_b,minus,0.4,0.05,3.174850511638498e-05
maxwell,26092401,calibration_mode_a,plus,0.05,0.0,2.2156900970689628e-05
maxwell,26092401,calibration_mode_a,plus,0.05,0.01,2.2712853398196513e-05
maxwell,26092401,calibration_mode_a,plus,0.05,0.05,2.5161804399367396e-05
maxwell,26092401,calibration_mode_a,plus,0.1,0.0,2.2156900970689628e-05
maxwell,26092401,calibration_mode_a,plus,0.1,0.01,2.321514131091203e-05
maxwell,26092401,calibration_mode_a,plus,0.1,0.05,2.815542220849304e-05
maxwell,26092401,calibration_mode_a,plus,0.2,0.0,2.2156900970689628e-05
maxwell,26092401,calibration_mode_a,plus,0.2,0.01,2.4067783113076998e-05
maxwell,26092401,calibration_mode_a,plus,0.2,0.05,3.356199309471686e-05
maxwell,26092401,calibration_mode_a,plus,0.4,0.0,2.2156900970689628e-05
maxwell,26092401,calibration_mode_a,plus,0.4,0.01,2.52680596574883e-05
maxwell,26092401,calibration_mode_a,plus,0.4,0.05,4.147056439318155e-05
maxwell,26092401,calibration_mode_a,minus,0.05,0.0,2.25291785113638e-05
maxwell,26092401,calibration_mode_a,minus,0.05,0.01,2.308699267095528e-05
maxwell,26092401,calibration_mode_a,minus,0.05,0.05,2.5540527454346963e-05
maxwell,26092401,calibration_mode_a,minus,0.1,0.0,2.25291785113638e-05
maxwell,26092401,calibration_mode_a,minus,0.1,0.01,2.3590584073689712e-05
maxwell,26092401,calibration_mode_a,minus,0.1,0.05,2.853537957590907e-05
maxwell,26092401,calibration_mode_a,minus,0.2,0.0,2.25291785113638e-05
maxwell,26092401,calibration_mode_a,minus,0.2,0.01,2.4444699412488583e-05
maxwell,26092401,calibration_mode_a,minus,0.2,0.05,3.393964612017221e-05
maxwell,26092401,calibration_mode_a,minus,0.4,0.0,2.25291785113638e-05
maxwell,26092401,calibration_mode_a,minus,0.4,0.01,2.5645442174463327e-05
maxwell,26092401,calibration_mode_a,minus,0.4,0.05,4.1840832272697556e-05
maxwell,26092401,calibration_mode_b,plus,0.05,0.0,2.88364477168388e-05
maxwell,26092401,calibration_mode_b,plus,0.05,0.01,2.9556647995357025e-05
maxwell,26092401,calibration_mode_b,plus,0.05,0.05,3.259273878626298e-05
maxwell,26092401,calibration_mode_b,plus,0.1,0.0,2.88364477168388e-05
maxwell,26092401,calibration_mode_b,plus,0.1,0.01,3.0195070644547908e-05
maxwell,26092401,calibration_mode_b,plus,0.1,0.05,3.611750908002045e-05
maxwell,26092401,calibration_mode_b,plus,0.2,0.0,2.88364477168388e-05
maxwell,26092401,calibration_mode_b,plus,0.2,0.01,3.1255209049669975e-05
maxwell,26092401,calibration_mode_b,plus,0.2,0.05,4.221238873461154e-05
maxwell,26092401,calibration_mode_b,plus,0.4,0.0,2.88364477168388e-05
maxwell,26092401,calibration_mode_b,plus,0.4,0.01,3.269955721043623e-05
maxwell,26092401,calibration_mode_b,plus,0.4,0.05,5.078001764323285e-05
